parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
-1.1502076,-0.79376066,-1.0507905,-0.8449673,-0.10645191,0.96292406,1.1693765,0.7270123,-0.31750852,-0.29547563
-1.2261219,-0.62124175,-1.0948925,-0.94771177,-0.49167675,0.90191036,1.4894911,1.5971439,0.1996807,0.040535975
-1.1460354,-0.51580006,-0.83292544,-0.713434,-0.7054771,0.6866719,1.4617251,0.78246874,-0.07600921,0.23853168
-1.3530703,-0.83022577,-1.177298,-1.0324081,-0.7943418,0.7533988,1.864432,1.5835336,0.40172383,0.32259884
-1.5296807,-0.9405097,-1.5776092,-0.41447365,-0.5434198,0.7475882,1.0848255,1.1392932,0.037172318,-0.46969685
-0.8734224,-0.6398688,-1.1294526,-1.1439327,-0.52540964,0.6647416,1.4958948,0.7719518,-0.09644104,0.23723117
-1.5443482,-0.11184326,-0.8364833,-1.8288031,-1.3942887,0.8913309,2.0514543,1.4795887,0.44510067,-0.043152064
-1.5924152,-0.46571383,-1.141455,-1.3399755,-0.81161946,0.5772435,1.3111445,1.1136185,0.12367871,0.023506109
-1.6880635,-1.0475925,-1.3042679,-0.73660636,-0.2483973,0.4740391,1.23822,0.9490537,-0.2637948,0.21532759
-1.4288574,-0.4233232,-0.7276858,-1.1259422,-0.48126733,0.37531227,1.3238648,0.5608339,0.31097305,0.5627425
-1.0631356,-0.10196581,-0.92697865,-1.2245235,-0.860907,0.37709767,1.6348063,1.348883,0.14290592,-0.2505844
-1.1661105,-0.20044085,-1.1823989,-0.6666463,-0.35121515,0.19486971,0.9342136,0.3361497,-0.04342326,0.13140371
-1.7499027,-0.4899578,-1.5274616,-1.3882047,-0.45511785,0.9991885,1.8908862,1.4393911,0.36942336,0.29227614
-1.2489467,-0.8736326,-0.85974044,-1.0071843,-0.12569289,0.21249028,1.2978162,1.1969779,0.10059537,-0.23290473
-1.4201446,0.19262198,-0.48511738,-0.7456969,-0.80813897,0.22088422,0.9254836,0.97154486,-0.037935838,0.79042757
-1.4972508,-0.6122476,-1.9460311,-1.2865896,-0.83209544,0.08534533,1.7094673,1.5754899,-0.046111528,-0.43715024
-1.5787607,-0.6324248,-0.7812992,-0.59641093,-0.5826269,0.81809145,1.7421408,1.0051013,-0.19315536,0.05290994
-0.9465562,-0.4974035,-0.56917745,-0.69988084,-0.58224773,0.49514332,2.2537503,2.163018,0.23645638,0.062565774
-1.6104565,-0.45226339,-1.6101779,-1.2691677,-0.81659013,0.7232421,1.5488384,1.337369,0.72421855,0.19129732
-1.3841664,-0.5594763,-1.3988752,-0.8076949,-0.03355425,0.8750743,1.7529823,1.4344938,0.058057766,-0.24021553
-1.6507175,-0.07831078,-1.0251173,-0.8213385,-0.5140712,1.1019697,1.8063598,1.3714187,0.54290366,0.54133666
