parameter_1,parameter_2,parameter_3
0.56671655,2.3633995,-1.4321495
1.0697682,2.3931918,-1.6584892
2.894897,2.6155107,-2.7035325
2.2942276,1.730939,-1.8027948
1.5495932,1.0321693,-1.1699579
1.4323918,2.492321,-1.7169056
1.8758194,1.84246,-1.6786005
2.4306185,1.9108447,-1.985634
2.8908184,0.83285046,-1.5701678
2.4643052,1.3894635,-1.5826039
2.560554,2.1797092,-2.275297
1.6521317,2.7938118,-2.1059604
2.2120836,1.8939734,-1.8509803
1.156814,1.3805349,-1.2046281
2.6067324,2.8956144,-2.495295
1.272369,2.0102947,-1.6119099
2.944424,1.027871,-1.7242465
1.9712856,2.3143811,-1.9872632
1.8034524,2.7122998,-2.131727
0.9642,1.5826662,-1.1304874
0.15129758,1.4798309,-0.8313848
1.5994453,2.8564878,-2.2585757
0.2322364,2.9328325,-1.7617475
1.9184564,1.9749433,-1.7756146
2.0586712,2.336507,-2.0356112
1.4979482,2.5035467,-1.8353156
1.106193,2.2206097,-1.5391364
2.7349455,2.9963408,-2.7513425
2.1309345,1.4767107,-1.759635
1.4478323,1.494345,-0.985266
0.2955277,2.5596948,-1.410767
1.9943388,2.8774788,-2.428709
0.55756426,1.3813244,-0.9797308
1.8863027,1.3686496,-1.4210367
1.2528844,2.4870336,-1.7341967
0.5252287,2.8854413,-1.747228
1.9693176,2.8270361,-2.3451085
1.3737619,0.66127455,-0.8572623
1.2464945,1.496042,-1.3552618
0.83852065,2.3569884,-1.5964209
0.22037293,1.1448005,-0.7343758
2.0230348,2.8970463,-2.4091985
2.973819,1.4382172,-1.9819362
2.0471199,0.9336782,-1.4689213
1.6538644,1.6189001,-1.483874
2.8276696,2.412841,-2.363077
1.471359,2.7282841,-2.0757117
0.70872355,1.4632322,-0.9615355
0.99394804,1.742181,-1.2675178
1.7507322,2.5257142,-2.0803876
0.31383494,2.995739,-1.7413266
1.85427,1.7715479,-1.6867024
2.9441614,1.2788717,-1.8310447
1.4887586,1.5504817,-1.3389604
2.2286777,2.8812234,-2.3449492
1.5061003,2.519821,-1.8682694
1.2310759,2.4606028,-1.7801226
1.0402857,2.2305088,-1.4287059
2.7327096,2.9973075,-2.7612553
0.72128785,2.4841058,-1.6072824
2.149491,2.6535592,-2.3315947
1.8683633,2.3963788,-2.098977
2.246749,2.1207073,-2.065567
1.4022144,2.2964323,-1.7053051
1.1180005,1.4764142,-1.1300241
2.0370593,1.9072753,-1.7523603
1.1700428,2.372883,-1.6133586
2.8858798,2.3877242,-2.330916
0.5246581,0.50525624,-0.3658464
0.6255566,0.759771,-0.4742586
0.2055247,2.9271286,-1.4430342
2.933538,1.9977707,-2.3620806
2.887486,2.3065906,-2.444551
2.6157289,2.9306858,-2.6284559
0.6702277,2.8178453,-1.8887856
0.99215776,2.4850273,-1.6717218
2.8946507,2.8777587,-2.6200056
0.61284584,1.7795836,-1.1633549
2.2838705,2.57583,-2.1889088
0.58575743,1.1000317,-0.8183297
0.7171518,1.7450805,-1.2609876
0.45024452,1.9543481,-1.2860974
1.6699498,1.4751899,-1.4358187
2.6446745,1.0266446,-1.6877564
1.0604361,2.9024653,-1.9943646
1.7549771,2.9467065,-2.2739577
0.53480256,2.816979,-1.7744807
2.4765902,2.9134786,-2.6533923
1.8597984,1.3001481,-1.3975731
0.6427014,2.3194056,-1.3035507
1.8086865,2.0835164,-1.7570913
1.8067453,1.3239558,-1.407694
0.44396275,2.235163,-1.3407186
0.6705037,2.02368,-1.3576343
0.7603334,2.269916,-1.409997
1.0371977,0.8353071,-0.7945337
0.61407727,2.7431643,-1.7167314
1.235999,2.6494052,-1.8734051
2.0407248,2.410822,-2.194801
0.94239986,2.105642,-1.7137669
0.021360798,1.054825,-0.5611073
0.89087504,2.3926566,-1.6729738
0.09033738,2.5200222,-1.3745111
1.1999769,2.8538315,-2.029113
2.262868,2.7675772,-2.3984265
2.5925813,2.8287082,-2.2723963
1.2020775,1.4825431,-1.2998565
2.2787476,1.4417456,-1.5449615
0.92446464,2.0622268,-1.4927366
1.155147,2.3166494,-1.7014806
0.5536901,2.5571942,-1.3648907
1.5747968,2.1382153,-1.6696994
0.7271574,2.8085725,-1.7739236
2.065928,2.148254,-1.8842193
2.435879,2.398624,-2.5202048
1.0217936,1.6626983,-1.3172638
0.50346965,1.6802415,-0.9620108
2.876835,2.7137685,-2.6237833
1.7660718,2.6901743,-2.132517
1.6867906,2.4192362,-1.9190989
0.37836292,1.5015401,-0.76509315
2.4027014,1.948615,-2.028528
1.4158888,2.7018173,-2.0790668
