parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
-0.022982255,-0.45339486,-0.36634478,-0.51287067,0.04543236,0.21326482,-0.61329764,0.042915504,-0.34346902,-0.20756209
-0.023826718,-0.2749356,-0.8808402,-0.047902465,-0.17812048,0.28887457,-0.17720118,-0.37270445,-0.11319217,-0.17931825
0.40392303,-0.3574307,-0.08299905,-0.22132838,0.15560217,0.28535002,-0.44330335,-0.2965449,0.061995216,-0.28870595
0.3151378,-0.62247854,-0.36960465,-0.3210818,-0.49204147,-0.5326192,-0.48137474,0.18288672,-0.18029456,-0.12477304
-0.02108106,0.12919435,-0.24451603,-0.05708328,-0.11000085,-0.07560495,-0.40234923,-0.1548912,-0.1350292,-0.4511522
0.5269963,-0.51394737,-0.6008335,-0.44318414,0.020258978,0.6577304,-0.6525681,0.025012583,-0.17512546,-0.26206344
0.15433016,-0.6437831,-0.506879,0.044665456,-0.026942633,-0.27157888,-0.4703619,-0.26906362,-0.06345992,-0.55977374
0.2615912,-0.3843342,-0.44895664,-0.41380906,-0.5127551,0.1156614,-0.7861178,0.21044692,0.13470338,-0.57264864
0.2496811,-0.49741083,-0.78722835,-0.1946832,-0.16114718,-0.32899874,-0.68391,0.22825298,-0.2996899,-0.39798295
0.29792422,-0.93426085,-0.30350357,-0.43087754,-0.18732822,-0.11062714,-0.3890646,-0.23833832,0.3140723,-0.1802443
0.34259784,-0.43434846,-0.44530663,-0.21645999,-0.16071273,-0.01946184,-0.11923689,-0.15680328,0.016359337,-0.31641406
-0.0037404,-0.23760386,-0.13886085,0.22975338,0.052171096,-0.002318278,-0.30115908,0.2261458,0.07624699,-0.13892516
0.22095929,-0.41559604,-0.30583847,-0.14265233,-0.13048509,0.057486393,-0.5232053,0.29962853,-0.29928088,-0.308372
0.16625738,-0.61847556,-0.47237736,-0.3695712,-0.21343738,0.11980759,-0.85567033,0.051258985,0.14234951,-0.4059592
-0.021910489,-0.45639887,-0.4205858,-0.3601635,-0.3058856,0.037144497,-0.75659096,-0.062332712,0.16158558,-0.19048442
0.2736826,-0.24075842,-0.19760554,-0.13177751,-0.2875129,0.17805411,-0.18680146,-0.16477996,-0.20088744,-0.25451577
0.054443575,-0.7313379,-0.5223739,-0.352923,-0.12834932,0.25947806,-0.82080424,-0.30118585,0.22453316,-0.3459205
