parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10
0.2244448,-0.79068846,0.16319692,-0.9705093,0.80812836,0.7940341,0.89072776,-0.5527905,-0.82415646,-0.7589854
0.44320023,-0.89347094,0.38863185,-0.95275885,0.9375807,0.8822567,0.012645483,-0.8909226,-0.70062137,-0.9909928
-0.13440251,-0.55027735,0.19745249,-0.44806933,0.9846512,0.23993842,0.19297682,-0.59080887,-0.7732895,-0.69026166
0.5250294,-0.66312736,0.6063627,-0.9641039,0.9641973,0.72223735,0.8772799,0.19186002,-0.6138139,-0.6881738
0.016020834,-0.36715564,0.7626622,-0.86590976,0.8496002,0.865679,0.17658725,-0.61816525,-0.24261826,-0.8746104
0.29442376,-0.9918717,0.7216071,-0.99272,0.6504636,0.3041823,0.55529296,-0.4002003,-0.592714,-0.9426798
-0.18522787,-0.29388407,0.7861229,-0.85661703,0.5853889,0.13558507,0.77694213,-0.6593692,-0.70386475,-0.8250177
0.5927729,-0.8917908,0.23300803,-0.94674623,0.7214594,0.100711495,0.41800943,-0.84963,-0.25164193,-0.8314743
0.2248586,-0.530213,0.39591575,-0.8513283,0.7789123,0.05820495,0.6755314,-0.6250171,-0.48798838,-0.9558942
0.2299478,-0.8867062,0.13464317,-0.9210191,0.8113772,0.41333285,0.3034703,-0.55497974,-0.6412873,-0.61601853
0.1561567,-0.8424525,0.11299291,-0.9284713,0.5173804,0.09913644,0.31549343,0.015684366,-0.9184994,-0.960006
0.24398427,-0.59839016,0.058485538,-0.77738506,0.8306212,0.8554386,0.34844506,-0.33211112,-0.6982505,-0.86984867
0.34231126,-0.37304053,0.7123954,-0.85167706,0.64419615,0.21516813,0.3171339,-0.60392064,-0.96948653,-0.8198436
0.41714123,-0.8580384,0.4128271,-0.9490354,0.78948915,0.46343195,0.22290382,-0.31112692,-0.8041273,-0.98385614
0.62219465,-0.08977485,0.6513364,-0.98596036,0.53236675,0.24176228,0.5297412,-0.35475716,-0.7436497,-0.52807945
0.59122306,-0.66806304,0.8210488,-0.79298437,0.9529713,0.0042971373,0.48798147,-0.7383096,-0.3427079,-0.8468099
0.66615266,-0.11353129,-0.11956781,-0.93281764,0.5130696,0.59190464,0.6297769,-0.686424,-0.7153864,-0.94769144
0.37329543,-0.98119426,0.44735432,-0.94912827,0.54941916,0.48238724,0.3158974,-0.99173605,-0.5852325,-0.9967723
0.35454708,-0.6717005,0.3061487,-0.9273491,0.7663971,0.2397822,0.5794184,-0.22386965,-0.57514966,-0.24950969
0.08517605,-0.7774183,-0.008389294,-0.8387641,0.7880001,0.05915928,0.12070048,-0.83301556,-0.44426376,-0.9492283
0.36418,-0.95476925,0.39446166,-0.8437336,0.85830426,0.5538425,0.3439671,-0.5131193,-0.61440647,-0.8143414
-0.104137,-0.81392944,0.98175114,-0.75640947,0.22348857,0.3269188,0.71514606,-0.7005364,-0.8158338,-0.9344023
0.027804196,-0.87043893,0.09933737,-0.9934863,0.844194,0.6910736,0.34813774,0.22100127,-0.67213356,-0.77310765
-0.096007496,-0.56527364,-0.10149056,-0.5437231,0.8066338,0.31599632,0.11436427,-0.5710674,-0.621627,-0.9628791
0.3830184,-0.7416445,0.90568984,-0.8681906,0.83660007,-0.102122545,0.34625122,-0.9603851,-0.92791826,-0.6557863
0.28094384,-0.9540856,0.18665788,-0.8449004,0.8798483,0.68279016,0.6691029,-0.3484367,-0.7447839,-0.9898454
0.5175108,-0.6299034,0.62337744,-0.9658747,0.7877116,0.7544389,-0.24493581,-0.75347847,-0.608301,-0.6592937
0.6223202,-0.16650307,0.59895766,-0.94727135,0.29755908,0.18672988,0.56745577,-0.85381234,-0.7803796,-0.7856846
-0.023513079,-0.61439705,0.3014142,-0.8371548,0.649523,0.44824302,0.5788115,-0.86931777,-0.5539149,-0.70426065
0.38841128,-0.90273994,0.41555938,-0.7105836,0.6207029,0.16139886,0.097925335,-0.47211772,-0.5537256,-0.9365181
0.7401427,-0.27461553,0.13964066,-0.8676583,0.7121848,0.63269293,0.12978086,-0.3546924,-0.8786284,-0.76767176
-0.4003716,-0.98640245,0.5528754,-0.7286416,0.8059529,0.51081663,0.2074565,-0.6941103,-0.7950665,-0.9642588
0.38550502,-0.34731916,0.5545266,-0.85387975,0.45688367,0.42304096,0.7431657,-0.8361194,-0.78055423,-0.8883548
0.36671978,-0.7114252,0.77915204,-0.54837215,0.757249,0.22888905,0.3220208,-0.3145942,-0.9612871,-0.9793567
-0.05788666,-0.91475046,0.025152296,-0.95188016,0.7784475,0.1691836,0.047862142,0.056473374,-0.8058945,-0.857597
0.46590817,-0.6062004,0.43313146,-0.9211602,0.9398715,0.9028278,0.33674407,-0.7957378,-0.32938662,-0.89740777
0.30224225,-0.830481,0.7284249,-0.86556673,0.9478956,0.4623055,0.59931827,-0.3342816,-0.64964634,-0.89954627
0.58633053,-0.752284,0.3013466,-0.7822136,0.6295054,0.20646292,0.31516933,-0.5200877,-0.96566397,-0.9141618
0.55793786,-0.98216593,0.5224999,-0.9165269,0.61707413,0.1982324,0.4551829,-0.98420256,-0.9224082,-0.5372677
0.56286347,-0.3220436,0.032101452,-0.9954244,0.9606323,0.66324186,0.68158954,-0.88004965,-0.50448096,-0.9794212
-0.031505078,-0.6332983,-0.26814467,-0.87566113,0.92951775,-0.049138695,0.746987,-0.74667495,-0.50109386,-0.6724967
0.42280102,-0.85548097,0.46368548,-0.963561,0.6886384,0.44001406,0.4554034,-0.5361863,-0.8187617,-0.4042585
0.335538,-0.3443372,0.6968936,-0.9257371,0.97774214,0.9188576,0.13683015,-0.56265646,-0.9207094,-0.9280391
0.11557487,-0.6849716,0.4049012,-0.76165515,0.67228234,0.87336564,0.54096085,-0.5713641,-0.42293102,-0.94518375
0.44174343,-0.67945194,-0.04665512,-0.8100463,0.45066625,-0.046805263,0.40765473,-0.9886055,-0.8751926,-0.9595718
0.25176412,-0.76853484,0.79736036,-0.9550987,0.8796892,-0.0004993081,0.37682524,-0.055222332,-0.4133692,-0.97182584
0.051867396,-0.30242717,-0.2618978,-0.9035423,0.6162466,0.4020309,0.23445554,-0.6034836,-0.99499273,-0.88614726
0.11998847,-0.64487684,0.6334963,-0.9676156,0.95051193,0.26104382,0.414426,-0.83179975,-0.5259889,-0.97273505
0.601833,-0.89110243,0.7761428,-0.7495155,0.7781931,0.6245433,0.40588233,-0.40650654,-0.66848695,-0.77027714
0.8953376,-0.95295066,0.59533733,-0.8605674,0.678125,0.4216074,0.25873816,-0.19355774,-0.9444799,-0.8109184
0.55521405,-0.19195813,0.91900134,-0.76506424,0.24480379,0.28244746,0.1672203,-0.5177936,-0.8730383,-0.89288783
0.81364816,-0.66409105,-0.09667951,-0.96577513,0.7819516,0.4045011,0.17138423,-0.6915847,-0.8276774,-0.92105764
0.2112957,-0.73047894,0.34540373,-0.8549968,0.8235897,-0.07652408,-0.030586362,-0.8249952,-0.4348128,-0.9737059
0.35865572,-0.7670485,0.6162461,-0.8249516,0.9898114,0.29413927,0.55761594,-0.4831975,-0.6186698,-0.7112455
0.32132283,-0.45797628,0.55224425,-0.820505,0.7583334,-0.15808791,0.7338121,-0.8133291,-0.3163219,-0.9016843
0.59485495,-0.5163179,0.3057707,-0.76439875,0.96925396,0.32050088,0.058464557,-0.7894553,-0.50686425,-0.7490251
0.23563825,-0.5008171,0.75576067,-0.8539865,0.8287047,0.2641765,0.68960667,-0.7154507,-0.7449242,-0.997501
0.55540264,-0.9201082,0.67410064,-0.9740498,0.7362904,0.35412997,0.90238696,-0.787526,-0.3872433,-0.78621787
0.29087573,-0.8034278,0.34217525,-0.7530807,0.72649765,0.47057205,0.19361664,-0.067148685,-0.395674,-0.87316275
0.6701152,-0.88775885,-0.25108492,-0.84235847,0.61676633,0.6428287,0.64345837,-0.9366292,-0.6207404,-0.70272326
0.22566676,-0.7587091,0.089342535,-0.98689884,0.597705,0.41456085,0.90515304,-0.7917392,-0.53928274,-0.8439978
-0.21129388,-0.7719342,-0.13894522,-0.7495749,0.5011618,-0.10826892,0.38340843,-0.14627531,-0.84028035,-0.6975981
0.6554643,-0.8505642,0.76826775,-0.9785383,0.82614774,-0.039466918,0.37535188,-0.8156719,-0.3751551,-0.99687785
0.5444616,-0.44008246,0.5024817,-0.9840682,0.614874,0.5036512,0.3543511,-0.23597431,-0.6995871,-0.9682815
-0.06824297,-0.6945944,0.42941007,-0.8723809,0.3496542,0.57245314,0.43655193,-0.8228981,-0.30068302,-0.9888554
0.20729399,-0.80136335,0.41740873,-0.9737743,0.73221505,0.82430726,0.42571113,-0.36128402,-0.9822699,-0.9858771
0.37819657,-0.6019495,0.59617823,-0.9482107,0.79966456,0.390377,0.57673085,-0.20366684,-0.66360146,-0.5363762
0.22949737,-0.8781555,0.32259065,-0.92045516,0.9501132,0.81133807,0.46133873,-0.5862347,-0.7557483,-0.8968695
0.4515713,-0.5075121,0.3476196,-0.99226236,0.7293329,0.5913951,0.15571856,-0.33596298,-0.84825647,-0.9733273
0.16089144,-0.9761105,0.4978638,-0.6981776,0.5976598,0.6509859,0.1307748,-0.6272206,-0.9553492,-0.92856866
0.14693677,-0.31836805,-0.6567772,-0.98883706,0.6463022,0.1727218,0.67524827,-0.5534913,-0.63758755,-0.90665716
