parameter_1,parameter_2
8.883048,8.106471
8.876244,8.131766
7.3907847,7.516219
8.882203,7.951312
8.618931,8.3391
8.733505,8.278558
9.361903,6.4080896
8.041361,7.282214
8.715017,8.220599
8.043959,8.183895
8.168223,8.095433
9.91415,9.573331
8.313062,7.121739
8.372098,8.554007
8.657314,8.493413
9.954352,8.048001
8.84996,7.474083
9.727457,7.882975
8.904564,8.210591
8.299215,6.586551
8.826926,8.278942
8.280091,8.282667
8.752227,8.200324
8.971064,8.168206
8.808959,8.128924
7.463168,8.429117
8.38751,7.1561127
8.129347,7.804514
8.294179,8.235011
9.01809,8.102384
8.868272,8.010231
8.928219,8.14921
8.78826,8.317324
8.844083,8.1784115
9.832042,8.541192
8.963775,8.100618
8.706415,7.9811707
8.257693,9.352104
9.001199,8.076911
9.0974245,7.5582294
8.921994,7.961386
8.751397,8.006854
7.9721794,7.553385
8.728899,8.082283
8.734224,8.126239
8.898202,7.9390087
8.9449215,8.414452
8.951922,6.9475203
8.94534,8.138993
7.9994097,7.6636295
8.518945,8.750792
7.933556,8.058863
8.955594,8.212607
8.940243,8.1634445
8.995175,8.155421
9.440134,8.249153
8.772135,8.039014
9.072877,6.4114428
8.339059,9.776469
8.765997,8.05843
8.911002,8.232814
8.907007,8.044342
9.237556,8.148679
8.72064,8.06214
9.538687,8.375402
8.82302,8.094461
8.762087,9.4009075
9.276421,7.6499834
7.1448274,7.407796
8.940724,8.133242
9.482554,7.594097
7.885817,4.286436
8.1876545,7.7034593
9.540507,6.7631035
8.9156685,8.157375
8.876725,8.048511
8.783155,7.90965
7.769415,8.390161
8.446889,8.829652
8.998959,8.020548
9.440847,7.383936
8.938614,8.139544
8.893346,9.974859
8.591272,9.239407
8.905433,8.158794
8.871358,8.092106
8.873771,8.008257
8.514748,9.350918
8.961305,8.122767
8.423411,8.678849
8.836332,7.9858913
8.8711405,7.5922422
9.214517,7.091912
8.956243,8.011191
8.957303,7.845732
8.912075,7.991694
9.732729,7.9096103
8.819936,8.080214
8.989214,8.013099
8.794152,7.926898
8.819184,8.058485
8.821628,8.018233
9.224403,8.516876
9.234307,6.879836
8.771024,8.122276
9.589973,7.293806
9.892114,8.464616
9.63478,8.956552
8.994945,8.0258465
8.1426735,7.3657494
8.3842125,9.399892
9.038837,8.217213
9.364538,8.588056
8.796431,7.944202
8.966007,8.176854
9.132163,8.363243
7.0262365,6.306833
8.834491,8.137829
8.812595,7.9727407
8.934875,8.25556
8.555781,5.585001
9.045448,8.003026
8.902159,8.160418
6.9316025,7.431083
8.937284,8.125896
8.793622,8.125377
8.8261,8.08109
8.936807,7.894169
8.982349,8.173471
9.421792,7.7427764
9.090452,7.88652
8.571971,7.3011026
7.2245307,7.181337
8.638317,8.034147
8.724738,8.080194
9.13186,7.3429337
8.168026,7.6615705
9.120797,7.9004817
8.9425745,9.509347
8.886308,8.633062
8.7397175,8.176165
8.471538,9.62471
8.876677,8.098143
7.349387,8.004689
9.018777,7.990475
8.867746,8.117346
7.8691006,8.07546
9.00929,8.651549
7.017166,8.245587
8.986076,7.9601793
5.4512005,8.289541
9.640631,8.199733
8.535202,7.54203
8.87527,8.020684
8.896038,8.04668
8.933277,8.130169
8.830061,8.201507
9.457507,8.426784
8.683952,8.001923
7.7474484,9.004137
7.3719544,7.446255
9.206283,8.890962
8.39208,8.060075
8.839228,7.892912
9.437558,7.1724343
8.2575035,8.6354265
8.878014,7.9667916
8.792772,8.114309
8.8709,7.947264
8.869363,7.845006
8.865385,8.060856
8.930939,8.006555
8.863554,8.000439
8.356631,6.333126
8.711899,8.031938
7.6117163,9.048068
8.055653,7.2457905
8.885007,8.2064
9.062161,8.192403
8.664541,8.027793
8.81733,7.9728813
8.797558,9.394802
8.909251,8.010031
8.841097,7.9853764
9.644643,8.06788
9.082442,8.291224
8.873033,8.080337
8.897056,8.048879
8.423435,7.8392034
9.003858,8.179804
8.700488,9.202248
9.04708,8.137735
8.613944,7.9920382
8.942926,7.973123
8.755916,8.090528
9.013726,8.0056095
9.268539,6.17511
8.908031,6.874153
9.492179,9.297743
7.0279922,6.945268
9.819614,7.6485853
7.3343916,7.5692444
8.778817,8.108492
7.443899,6.497589
8.819141,8.151444
9.007551,8.163837
8.69592,8.168243
