$\alpha$,$\beta$,$\gamma$,$\delta$
0.7703971,0.022934355,0.40360153,0.050161548
0.77003974,0.022793507,0.40737444,0.05162263
0.7621726,0.018891675,0.42396134,0.05238044
0.76984245,0.02245775,0.40824872,0.050631627
0.8012559,0.024246786,0.40177485,0.04948701
0.76068705,0.023511125,0.40427965,0.051852703
0.77195626,0.021216784,0.41460595,0.052370872
0.76836294,0.021527974,0.41111672,0.05133582
0.7637932,0.018814828,0.42624724,0.053594653
0.7740306,0.021799097,0.4117426,0.05109204
0.783871,0.023702696,0.40289098,0.050092183
0.78356856,0.022272838,0.40749133,0.051040784
0.7684168,0.02113378,0.41151267,0.0511182
0.76609355,0.022190629,0.4075017,0.05087685
0.77414244,0.023185402,0.40736416,0.05189469
0.7867755,0.023894487,0.4049985,0.05111207
0.7764159,0.021391036,0.41032466,0.049528074
0.7805177,0.023725435,0.40139478,0.05043677
0.77848697,0.023439897,0.40665105,0.05117993
0.78112704,0.02294275,0.40627885,0.050966676
0.76787525,0.021463698,0.40991598,0.05133692
0.7688838,0.021086168,0.41115582,0.05115486
0.79032797,0.022252956,0.41199893,0.050506815
0.757597,0.020184787,0.4176933,0.052514195
0.76594347,0.021420555,0.40933502,0.05175376
0.76795846,0.021214355,0.411582,0.051084828
0.7677918,0.021717316,0.40825915,0.0510406
0.7716827,0.022369407,0.40920982,0.05216972
0.762038,0.020445231,0.41200152,0.050832737
0.76737964,0.019935843,0.41934395,0.05249482
0.7978709,0.023259273,0.4029843,0.049113967
0.7686686,0.019495789,0.41902286,0.051411502
0.77049816,0.021234415,0.41494748,0.051314466
0.78336215,0.023726974,0.4051165,0.05036962
0.739587,0.020354228,0.4160816,0.054174848
0.75969166,0.0197778,0.41833276,0.052560933
0.78635633,0.025581943,0.3981056,0.050127715
0.788583,0.023065373,0.40618268,0.050800305
0.7437156,0.020773347,0.4168261,0.05289939
0.7698507,0.021013146,0.41730422,0.052654274
0.77886516,0.02088808,0.4142701,0.05110142
0.77804977,0.022225993,0.41122928,0.051469143
0.78885967,0.022318171,0.40762377,0.04962793
0.7857286,0.022554955,0.40715075,0.050322
0.7899145,0.021669267,0.4125819,0.050350673
0.7617963,0.021325545,0.41273484,0.052624155
0.7787483,0.022449518,0.41034022,0.05125267
0.763103,0.020658279,0.41148248,0.051274586
0.7788366,0.02237321,0.40630198,0.05060732
0.7810542,0.022124562,0.4083077,0.050840944
0.7703832,0.020679232,0.41431704,0.05182361
0.7792139,0.022179991,0.40771985,0.05081127
0.7744685,0.022512814,0.4057956,0.050025873
0.7761224,0.020852096,0.41417003,0.051987197
0.7669701,0.023268452,0.4015945,0.051179014
0.77700377,0.022996647,0.40261695,0.050076053
0.75874925,0.020267403,0.41465607,0.05186268
0.7632936,0.023231773,0.4074669,0.05244472
0.77212924,0.022696385,0.40712824,0.051591042
0.7395601,0.01946805,0.42027378,0.0547566
0.7590318,0.021871137,0.41297185,0.05311294
0.76504,0.021677969,0.41395104,0.05240452
0.7560926,0.021001792,0.41338167,0.05176488
0.78073436,0.022226162,0.40831536,0.05050222
0.7518793,0.021208873,0.41643518,0.053973097
0.76908445,0.021428473,0.41116273,0.051271956
0.75878155,0.020687269,0.41151118,0.051384896
0.77959126,0.021874484,0.41151202,0.05156967
0.77557623,0.021841673,0.41264507,0.05299207
0.7749392,0.021351425,0.4147369,0.052537452
0.7750434,0.020573497,0.41401094,0.05104089
0.77040553,0.021859892,0.4087656,0.051004604
0.7883539,0.022921387,0.40637788,0.050007485
0.7788285,0.021159159,0.41263384,0.05175038
0.7833178,0.022503208,0.4048987,0.04984339
0.7691347,0.021172961,0.41399974,0.05227534
0.75101626,0.019754559,0.41887498,0.054009438
0.763948,0.02039497,0.4178113,0.05312168
0.7828974,0.02107097,0.41522768,0.051354498
0.76639414,0.02241817,0.40708533,0.051448755
0.7661701,0.021276923,0.41384637,0.051214438
0.7678961,0.022262603,0.41126353,0.05186984
0.79181665,0.022603102,0.40485218,0.049379814
0.7725113,0.021650909,0.40833384,0.05102134
0.7646727,0.022089986,0.4097386,0.052525703
0.77774924,0.022478445,0.40811557,0.052057672
0.73837227,0.019435406,0.42322114,0.054629277
0.7785432,0.020910583,0.41636795,0.051467843
0.74857426,0.020272424,0.41406196,0.05237298
0.7686623,0.020585228,0.41489398,0.051365104
0.7593735,0.02079704,0.4120346,0.051568538
0.7695207,0.022068946,0.40869224,0.051865205
0.78374714,0.02182234,0.41099912,0.051213425
0.7844649,0.02140225,0.4124559,0.050201844
0.78124756,0.023160435,0.4074305,0.051214106
0.76603,0.02075567,0.41419217,0.05096302
0.77531016,0.022831874,0.40557277,0.050580047
0.76646507,0.021415066,0.41141725,0.051567923
0.7713796,0.022215705,0.40891832,0.051685754
0.7668034,0.021770349,0.4141222,0.052645963
0.8029536,0.023588018,0.40168643,0.048724115
0.7696952,0.021543287,0.41278926,0.051145665
0.789439,0.023975378,0.4034844,0.050436817
0.765777,0.021891367,0.41135815,0.052405957
0.7850939,0.022834046,0.40651146,0.050812915
0.76838934,0.021630801,0.40832138,0.050367314
0.77023333,0.021290172,0.4112639,0.051541388
0.7786621,0.022784188,0.40586814,0.04966613
0.7686421,0.022500938,0.40788993,0.050912134
