parameter_1,parameter_2,parameter_3
0.43787438,2.6880398,-1.8164494
0.9879881,2.6769307,-2.0857947
1.1212994,1.3893338,-1.2968857
1.7069281,2.0492318,-1.9945614
0.9319223,2.522514,-1.9293054
0.8464004,1.510797,-1.3621452
1.9362911,1.0733471,-1.5206361
2.6264353,2.3198473,-2.507205
1.3964309,1.1941342,-1.4431515
0.20971143,0.6274178,-0.5520764
1.1498024,1.2279226,-1.2541597
0.09915782,1.6808442,-1.1044127
2.727389,1.3110629,-1.9641364
1.7851835,2.4008405,-2.312194
0.72160715,2.9276288,-2.2170446
2.6208565,2.6185286,-2.8818004
0.38440782,2.8137476,-1.8933858
1.3521318,2.4920595,-2.111434
1.1444503,2.4474506,-2.0164337
2.1547902,2.4321084,-2.4434524
1.9755646,2.9956338,-2.7024047
2.8687625,2.0610754,-2.5796852
1.7284389,2.6249826,-2.3483205
2.7502248,2.495668,-2.734647
0.8241362,2.98331,-2.2629998
0.55687195,1.4293356,-1.1496949
1.9662654,2.3570645,-2.2741458
0.6025865,2.74058,-1.9444376
2.2615252,0.5426974,-1.3913984
1.931489,2.8566191,-2.5870934
2.322205,2.3775184,-2.362392
1.8199388,1.3845066,-1.613943
2.573951,2.980888,-2.9227712
0.3503204,2.2902932,-1.5463655
1.7924846,1.352806,-1.6530414
2.9590776,2.110294,-2.5488904
1.5735072,2.6590726,-2.259684
0.9404662,2.3391216,-1.9353331
2.483294,2.9028904,-2.897552
1.892973,2.0465877,-2.100425
1.6824125,1.6081452,-1.7547079
1.1974015,1.4544625,-1.5086967
0.098872304,2.2373526,-1.4341115
2.3641706,1.614537,-2.0025551
2.7264564,2.415196,-2.6408145
0.22213514,1.1860048,-0.9729521
0.10839292,2.0426915,-1.3195127
1.456638,2.866045,-2.345119
0.51274544,1.3558013,-1.0469673
0.48829755,1.7869289,-1.4029721
0.12964031,2.2978091,-1.5564357
0.7912894,2.9977355,-2.2946844
0.111227885,1.5482807,-1.1522427
1.0984383,2.765033,-2.099072
0.20050532,0.51281697,-0.49128395
1.445248,1.7824314,-1.6888404
0.016654834,0.5641901,-0.3674941
1.492402,1.507605,-1.5311928
2.546653,1.6469271,-2.1306684
1.5042062,0.6058399,-1.1337569
1.5577425,1.300546,-1.4666145
2.9418979,2.6009316,-2.8684838
2.3232284,2.5508208,-2.552196
2.3133872,1.6156836,-2.1047318
1.6649252,2.532626,-2.3379107
2.1677573,1.5159254,-1.9388692
1.5585201,1.8184869,-1.8729644
2.7931578,2.8079822,-2.8655295
1.2751395,1.9390277,-1.7873605
1.3151894,1.8655809,-1.7190212
1.8687327,2.5787182,-2.3506935
2.6846466,2.8587852,-2.9190402
2.4064143,2.5402808,-2.573061
0.272728,0.8281129,-0.6653852
1.0694925,1.5632102,-1.4617138
2.1151583,2.404537,-2.3576865
0.67486316,2.9347582,-2.15106
0.7531916,1.3920013,-1.1797725
2.866997,2.5523434,-2.807771
0.2992589,2.4976625,-1.7587979
1.4291387,0.8313336,-1.1103209
1.115836,2.279707,-1.9697785
1.1746664,2.1130288,-1.7932229
0.028483307,1.9465609,-1.2975959
0.4609805,0.7183143,-0.6741584
1.2692603,2.3538256,-2.0176098
0.8342633,1.5045061,-1.3643564
2.0134387,1.7430913,-1.9759828
0.0636515,1.6777622,-1.1553373
2.4583495,1.5289787,-2.0173395
0.2230642,2.60974,-1.7252113
0.723911,1.1411521,-1.0114657
2.070001,2.152701,-2.2708426
1.7999206,1.9574364,-1.9666392
1.0472655,2.1930268,-1.95761
1.910247,2.1743805,-2.204178
2.1295252,0.055339385,-1.028715
1.1137303,1.6067805,-1.6413885
1.9880887,2.3592727,-2.3201823
