$\beta$,$\gamma$
0.31261283,0.116199166
0.3138997,0.11843803
0.31490487,0.11751278
0.30877358,0.110844955
0.31117138,0.115254685
0.30695733,0.10947772
0.31016526,0.114865474
0.31180245,0.11563788
0.31255627,0.114866845
0.31214738,0.11630904
0.31690794,0.12320711
0.30847415,0.113079615
0.3131053,0.1171155
0.31204236,0.11542593
0.3178496,0.12131243
0.31257498,0.11610158
0.3126704,0.1141846
0.30857447,0.11462935
0.3009551,0.104876235
0.3138573,0.11555804
0.31318745,0.118953675
0.3124909,0.114941
0.31298217,0.117868826
0.30851045,0.111546114
0.31296977,0.118400395
0.30843887,0.11455919
0.31374207,0.117912196
0.30973676,0.11515306
0.31607798,0.122773126
0.30636054,0.11268359
0.3144142,0.114839025
0.3092654,0.11172191
0.3072813,0.109700985
0.3127255,0.12090559
0.3069515,0.11089291
0.30680925,0.11338241
0.31479377,0.12196161
0.31056845,0.115078926
0.31364596,0.11692405
0.32001308,0.1233571
0.31392097,0.118921146
0.31700253,0.12077683
0.31304163,0.121382445
0.31029943,0.117786966
0.31187004,0.11884524
0.30728784,0.11108833
0.30939206,0.11657369
0.31132695,0.11498256
0.30767792,0.11512487
0.31556603,0.119755
0.3122446,0.11558719
0.31679764,0.12108369
0.30726182,0.11151711
0.31260177,0.118069254
0.313288,0.117150605
0.30962953,0.11171286
0.3124303,0.11751488
0.30607682,0.11093384
0.31191215,0.1162003
0.3115193,0.11382424
0.3112294,0.11863547
0.30873004,0.114099346
0.32185498,0.12685789
0.3114524,0.116145514
0.3156013,0.11897327
0.3118207,0.116930604
0.30566198,0.10855917
0.31360298,0.12074914
0.3132762,0.11790166
0.30600077,0.112912826
0.31422547,0.11828147
0.3087371,0.11467429
0.31066316,0.115025386
0.31190664,0.11456135
0.313896,0.119615175
0.31114227,0.116550565
0.31017724,0.11242929
0.3080442,0.11478707
0.31278312,0.11495575
0.31964824,0.12430261
0.3088019,0.113108516
0.31765783,0.12143206
0.30824023,0.114272736
0.3120978,0.119630836
0.30464107,0.11015429
0.30926493,0.112260304
0.30850345,0.11350777
0.31208098,0.11847186
0.314452,0.1197703
0.30925167,0.11310552
0.31233934,0.116570495
