parameter_1,parameter_2,parameter_3,parameter_4,parameter_5
-2.5900228,-2.424866,2.8152478,-0.6855758,1.4515984
-2.277824,-2.5176554,-2.7535465,0.5846522,1.6785035
-2.780774,-2.5391734,2.46969,-0.62735784,1.2153695
-2.5178618,-2.4805696,-2.9074817,0.8757536,1.6302525
-0.72812325,-2.2736993,-2.561621,-0.729125,1.2427298
-1.6584665,-2.3372269,-2.9302154,0.70863426,2.2141676
0.6609661,-2.3906255,-2.857894,0.6670306,1.7099228
-2.269677,-2.2674863,-2.4529836,-0.7700077,0.9486468
1.1219797,-2.2651904,2.5361164,0.602729,2.056072
-2.1976414,-2.9072206,2.5415354,0.61401546,-0.09590997
-2.6143146,-2.4031613,-2.8747072,0.71170276,2.3968914
-2.9643772,-2.4412472,2.7674205,0.6525035,0.72450334
-2.6811461,-2.8433127,-2.6887522,0.77992696,0.9506873
-2.9442887,-2.5554545,-2.5719485,0.68685395,1.3458467
-0.53435355,-2.4482665,2.8986444,-0.6441794,1.7273209
-1.4025218,-2.3239229,-2.980027,-0.6751599,2.1589916
-2.653001,-2.412608,2.9844127,0.6936498,2.041193
-0.2448039,-2.3159947,2.8854253,-0.65945244,2.2890797
2.2672222,-2.4556768,-2.9254353,-0.7239366,0.8288945
-0.74416345,-2.633439,-2.738194,0.5277373,1.0359898
-0.37896276,-2.4132698,-2.4117427,-0.52159923,1.1223543
1.7898676,-2.6360888,2.8711748,0.8019704,0.7560531
-2.6670141,-2.4546337,2.732442,0.62341994,1.275979
-2.98855,-2.85409,-2.6905682,0.7847605,0.19319049
-2.8237991,-2.4666882,2.8760262,-0.6699119,2.244789
-1.1840173,-2.2722642,-2.1753128,-0.58055705,0.89766574
-1.5481982,-2.7126572,2.8103106,-0.84540683,0.37224263
-2.492025,-2.4033763,2.5696778,-0.585586,1.6147499
-0.37585595,-2.4995878,-2.987342,0.72464705,1.1918353
-2.455169,-2.4979415,-2.9156377,-0.6564104,2.1812809
-1.6380761,-2.521681,-2.6091523,0.7256915,1.1415662
-2.503196,-2.9247792,2.7841547,-0.62569463,-0.09820397
-2.3155494,-2.5034902,-2.6873522,-0.6232801,0.7986823
-1.3410918,-2.5123749,-2.9732943,-0.6743561,1.7667196
-2.8906164,-2.576956,-2.6570864,0.6972004,1.9346823
-2.1725047,-2.4953768,2.808568,-0.6518159,1.8668084
-2.4734318,-2.37622,2.7914011,0.7462816,1.6927867
-2.22747,-2.9684756,-2.9115405,-0.9330244,0.16653746
-2.3292286,-2.5020182,2.761321,0.6706334,1.4988997
-1.8527513,-2.5506344,-2.6469178,-0.67632663,1.6552817
-0.8282326,-2.7981958,-2.860076,-0.5496784,0.89361143
-2.0701869,-2.317533,2.9843798,0.7824777,1.7919405
-2.139728,-2.4048967,2.6425807,0.58218914,1.7637445
-2.082129,-2.3936489,2.642058,-0.6080276,1.6749516
-1.9691133,-2.3443696,-2.994563,0.971382,0.6800107
-1.8351328,-2.426252,2.9865382,0.6195525,1.4712257
-1.6906344,-2.2477098,2.873215,0.7647663,1.9607642
-2.8478253,-2.5175946,2.6620944,-0.61534446,2.0545266
-1.7031604,-2.5432851,2.4425156,0.5484186,1.1480811
-2.4074104,-2.5630836,-2.8528934,0.7312463,0.3256075
-0.8462842,-2.8223147,-2.6347775,0.99814886,0.15058056
-2.6724434,-2.664579,2.4124222,0.71232,0.71571285
-2.7462032,-2.5328166,2.9826527,-0.66703296,0.94795513
-0.6169027,-2.4152653,2.9145873,-0.6030428,1.6088284
1.3069856,-2.4555979,2.9255724,0.70239705,1.8279326
-0.53622425,-2.4530876,-2.8879416,-0.6144694,1.8283907
-2.7546504,-2.3820646,2.8360124,-0.6914815,0.9346423
-1.8553091,-2.4963694,-2.8480635,0.6433726,1.5365298
0.68962955,-2.321262,2.9341357,0.6904477,1.2321788
-2.9156384,-2.409694,2.7511647,-0.71129984,1.9181956
-1.4257293,-2.4177272,2.959991,0.69239265,2.0627794
-2.3372657,-2.5360055,-2.8968122,-0.5980768,1.6832992
1.4978809,-2.3994768,-2.9460275,0.56595105,1.0832055
-0.32959732,-2.2413678,-2.7796583,-0.78190845,1.6266577
-2.383885,-2.2082214,-1.9061887,0.7123885,1.0045379
-1.3465791,-2.4161935,2.3240824,-0.52615625,1.53739
-1.4849855,-2.402269,-2.9315546,0.7052831,1.4103397
-0.5022892,-2.4745662,2.8496413,-0.65505,1.8597214
-2.9849808,-1.6302378,2.5773683,-1.136732,0.21415073
-0.9731435,-2.271234,2.848035,-0.62303716,1.4831455
-0.43528378,-2.2319107,-2.5174596,-0.60577875,1.2270977
-2.9426258,-2.366439,2.4837904,-0.6500816,1.3326073
-1.3409582,-2.6956148,-2.8959818,0.75846195,0.3613773
-0.26249868,-2.2694538,2.755581,0.68498355,1.8358682
1.663452,-2.3682475,2.6404576,-0.66852534,1.2888829
-1.9763367,-2.5747576,-2.5775497,0.6821137,1.1153984
-2.414739,-2.573246,-2.9233153,0.5705885,0.8536657
-2.5781815,-2.468103,2.8230462,0.66677207,1.9685768
0.25608155,-2.606168,2.5253813,0.52115256,0.77819103
-0.06894469,-2.169845,-2.8887377,0.73941386,1.3353201
0.9317114,-2.2344627,-2.872949,-0.69892526,1.8983083
0.89089227,-2.3326595,2.573808,0.60744005,2.0141466
-2.3830087,-2.4410217,-2.535806,0.6463146,1.2870833
-7.2745606e-05,-2.370599,2.8986511,0.6425007,2.058739
-2.8653345,-2.435436,2.3517523,0.52586466,1.3008515
-2.5417972,-2.795196,2.6154425,0.6595098,0.65043736
-1.82516,-2.6437638,2.9478035,0.59650165,1.8975905
0.7982422,-2.3502994,-2.9098625,-0.7465783,1.320943
-2.6536982,-2.4702446,-2.5752375,0.63830113,2.1745567
-1.4810836,-2.4533458,2.6906729,0.6118597,0.78601134
-1.815847,-2.4438877,-2.9536276,-0.63026434,1.6800306
2.1626482,-2.2378082,-2.69939,1.5519133,0.8483801
-2.3456771,-2.5759625,-2.943711,0.8093681,0.45877534
-2.4466732,-2.5416377,-2.7334003,-0.5926611,1.7258371
-1.4048781,-2.33743,-2.626952,-0.67332816,2.2701309
-1.9452746,-2.6930635,2.9492993,-0.7691632,0.7005099
-2.6010413,-2.4353585,2.3615801,0.57578486,1.8948668
-2.0245273,-2.1744723,-2.701209,0.73758864,1.3780428
-2.276699,-2.4820495,2.8789632,0.6627427,1.2423491
-1.3520286,-1.031433,-2.9758818,1.4997019,1.1590781
-2.62132,-2.546466,2.7955644,0.65354604,1.487792
-2.6148188,-2.393599,-2.9872737,-0.75319326,1.9852481
-1.9840411,-1.9331312,-2.9522886,0.9348499,1.1877425
-1.6053874,-2.510157,2.5208416,-0.6606929,0.83995
-2.1251552,-2.4039752,-2.2240674,-0.57525903,1.0591354
-1.7124114,-2.4783378,2.7030368,-0.5880511,1.8808523
-0.036248803,-2.3542082,-2.737176,0.68428075,0.9125859
0.45541665,-2.1724095,2.807519,0.74567497,1.4912313
-2.2143283,-2.344642,2.8482077,-0.809796,1.7389696
-2.4215043,-2.4395719,-2.9623866,-0.71917844,2.3078148
-1.7644973,-2.3775866,2.946279,-0.6929321,1.3309546
1.2310622,-2.1471603,-2.9816275,0.7458024,1.5988252
-2.0975502,-2.5559537,-2.7269542,-0.5384871,0.9972135
-2.1657238,-2.5271845,2.9039962,0.6480916,1.5447875
-2.9094238,-2.6086693,-2.9242978,0.62681323,1.1693809
-2.1460505,-2.8634527,2.673321,0.73455095,-0.044195358
-1.5143789,-2.350765,-2.836234,0.7569102,1.9684374
-2.1177874,-2.432009,-2.5599065,-0.6140264,1.9164836
-1.4201455,-2.678593,2.9270499,0.6143334,1.2917104
0.18256795,-2.0515037,-2.532407,0.8552404,0.8987079
0.60529494,-2.4300895,-2.827138,0.6807195,0.7597684
-1.6120641,-2.3834465,2.7181318,0.7462301,1.9381196
-2.12567,-2.468336,-2.4917727,-0.58913946,1.5311362
-2.8607519,-2.472729,-2.8320854,0.71317244,2.1471128
-2.3544726,-2.4873104,2.67228,0.66393924,1.4323097
-2.640129,-2.1586833,2.192796,-0.74443537,0.50013626
-2.6377969,-2.6021345,-2.5862792,0.57099444,1.088772
-2.7094493,-2.6774845,-2.5996828,-0.63048106,1.0169151
-2.7329803,-2.3277607,-2.9849434,-0.7295346,1.7260536
-2.8354115,-2.5962052,2.7751675,0.7592633,1.2237585
-0.18646765,-2.2615917,-2.7928598,-0.7576563,1.5403384
-2.6866007,-2.4368806,2.743724,0.6839128,1.9190948
-1.1559739,-2.1635551,2.8231802,-0.6807827,1.2630548
-1.5635769,-2.3836544,-2.7371798,-0.636487,1.3521494
-2.505068,-2.3138309,-2.7594848,-0.6406581,1.9488658
-2.758936,-2.4697192,-2.9748383,-0.66164625,1.956028
-1.7005475,-2.3469338,-2.551518,-0.64791024,1.6393205
-0.82367617,-2.3908033,2.613694,-0.6327444,1.6982582
-1.3446046,-2.4822588,2.999826,-0.7241858,0.99362
-1.4526459,-2.3709555,2.9665267,-0.73203176,1.3503762
-2.6476352,-2.582967,2.8156939,-0.66160613,1.7822057
-1.3908052,-2.3406663,2.5750165,-0.5663351,1.4293649
