parameter_1,parameter_2
-0.5357167,0.8314807
-0.8201629,0.562027
-0.4713621,0.6917244
-0.48115396,0.6545137
-0.7183087,0.46947375
-0.74273694,0.47505534
-0.51954824,0.81456107
-0.4626726,0.7715759
-0.72605705,0.47204092
-0.78459203,0.48594734
-0.5379569,0.83604294
-0.82193637,0.5500047
-0.7997612,0.6161536
-0.48451945,0.7306495
-0.78842235,0.48691228
-0.83626777,0.59200364
-0.77703226,0.48577878
-0.4782111,0.7741098
-0.6079345,0.80394053
-0.80519676,0.50761175
-0.8197675,0.55593586
-0.83039457,0.56007475
-0.48851886,0.68080574
-0.60278016,0.81978935
-0.7658018,0.47435877
-0.47100633,0.75234765
-0.67104703,0.49480757
-0.7807306,0.46582222
-0.48526588,0.7786566
-0.47122338,0.71732867
-0.483338,0.78000486
-0.56301284,0.81007814
-0.6079231,0.811963
-0.48031685,0.6960038
-0.490896,0.66256654
-0.6597012,0.47800434
-0.4822543,0.764681
-0.8343877,0.53687495
-0.49596733,0.79023176
-0.51893884,0.8219978
-0.46825168,0.73174775
-0.48647434,0.7513915
-0.80671984,0.5165611
-0.8200615,0.5924122
-0.80900425,0.5354127
-0.7491099,0.45727926
-0.4708648,0.67506945
-0.47600976,0.80276906
-0.48807877,0.7917066
-0.8276628,0.6082078
-0.56745887,0.82776797
-0.4820068,0.6687149
-0.7412868,0.45570093
-0.57582676,0.8314929
-0.50033796,0.8110542
-0.47680935,0.6485814
-0.6627976,0.48853496
-0.8141135,0.53663933
-0.5704056,0.84210885
-0.47543472,0.65585226
-0.49418804,0.69377357
-0.62225264,0.80503935
-0.8071716,0.49555302
-0.8304996,0.5286071
-0.74742174,0.4725525
-0.5451074,0.815774
-0.52558315,0.81476545
-0.82231236,0.56866276
-0.80713725,0.5733731
-0.49535322,0.82457006
-0.4759735,0.6908338
-0.47530803,0.68242186
-0.7971098,0.62394184
-0.49337372,0.68223494
-0.72993463,0.4628833
-0.49963236,0.80378306
-0.81330997,0.59278435
-0.82772005,0.55709946
-0.83335054,0.49381348
-0.6706427,0.50168663
-0.79399186,0.47221285
-0.7399961,0.45735633
-0.4863444,0.6798622
-0.5214096,0.8082287
-0.8170363,0.60797024
-0.4750126,0.7256586
-0.83929384,0.5464845
-0.63735247,0.81113434
-0.5645741,0.8153969
-0.5051595,0.81464994
-0.49698973,0.67101383
-0.81395966,0.57241684
-0.45106718,0.74437237
-0.54739,0.8316957
-0.8283857,0.561151
-0.4738321,0.69131553
-0.5513727,0.8163113
-0.735977,0.4608714
-0.5799596,0.83649284
-0.6132473,0.81492627
-0.67457324,0.45785815
-0.48025355,0.78002846
-0.57611036,0.83299327
-0.7027565,0.47352004
-0.46296304,0.7009
-0.8193529,0.5817253
-0.81100947,0.6302127
-0.54537386,0.82036275
-0.510183,0.7956481
-0.46362785,0.6917109
-0.8002267,0.5079757
-0.4698618,0.76629525
-0.75505227,0.4823863
-0.81719965,0.55303794
-0.816303,0.49572265
-0.4887184,0.77096725
-0.7348764,0.45583752
-0.50751674,0.80964935
-0.80503994,0.62659496
-0.48687512,0.6854674
-0.5035455,0.6686441
-0.8175094,0.55723155
-0.8102149,0.6407472
-0.49726912,0.8098347
-0.5955623,0.8071671
-0.8060321,0.6236542
-0.81619585,0.55838776
-0.5218755,0.8032986
-0.78194535,0.5012405
-0.48539922,0.79813397
-0.79606366,0.5585753
-0.8218832,0.5576968
-0.65729094,0.49012002
-0.5497259,0.8231727
-0.7383267,0.46480197
-0.5022208,0.79889935
-0.81368816,0.6248282
-0.50760186,0.8019928
-0.6344879,0.80316156
-0.66773176,0.49636844
-0.7484739,0.47162107
-0.8026174,0.52662224
-0.77782786,0.4952998
-0.6449487,0.8090179
-0.6183688,0.7931588
-0.4954284,0.6639798
-0.8317216,0.56217676
-0.45795846,0.74314725
-0.69293016,0.4760272
-0.72288996,0.4812116
-0.49604172,0.79394704
-0.49770793,0.7908082
-0.6927431,0.47817835
-0.58238524,0.8146171
-0.5759592,0.82574606
-0.7413097,0.47703844
-0.7766308,0.46898037
-0.7134339,0.44510823
-0.45909643,0.7410222
-0.5313283,0.8172833
-0.6095039,0.81103486
-0.6018521,0.8245509
-0.46899492,0.7436742
-0.4646736,0.71950066
-0.5886195,0.81668675
-0.8141032,0.5757317
-0.8222316,0.55810934
-0.8255101,0.5791338
-0.49690735,0.8169135
-0.81776536,0.49298048
-0.8097989,0.537494
-0.7819681,0.49314508
-0.5475645,0.82874525
-0.49550813,0.67561144
-0.767717,0.48388028
-0.7125906,0.4669901
-0.6268487,0.80877995
-0.80552506,0.47980785
-0.7016353,0.48213702
-0.82383156,0.55065155
-0.6946031,0.4672556
-0.4672137,0.7291526
-0.74520195,0.4622766
-0.7779171,0.46441466
-0.5287733,0.82893205
-0.84939516,0.57066715
-0.5960494,0.8290061
-0.48635697,0.74954116
-0.7481829,0.46197197
-0.497357,0.8040707
-0.8054108,0.6140775
-0.8218869,0.62890923
-0.5089392,0.8039208
-0.48177445,0.6615248
-0.4869265,0.6821433
-0.84441084,0.54951245
-0.57283825,0.8214055
-0.8350609,0.5858601
-0.8289861,0.5500242
-0.69490045,0.47311002
-0.7409674,0.46923983
-0.8112527,0.6169127
-0.8140309,0.5022726
-0.47549713,0.77158093
-0.46123433,0.72227633
-0.4963845,0.792408
